name,price ($),weight (kg),length (m),width (m),height (m),shipment date,destination port
Dog Crate,43.06,9.22,0.97,0.53,0.23,2023-03-27,Port of Singapore (Singapore)
Roofing Shingles,27.77,5.51,0.79,0.77,0.08,2023-03-19,Port of Singapore (Singapore)
Big Bag with Granules,94.33,923.89,1.48,0.59,0.17,2023-03-14,Port of Tianjin (China)
Coffee Table,79.84,11.43,1.12,0.49,0.6,2023-03-14,Port of Shanghai (China)
Lawn Sprinkler,16.57,1.46,0.46,0.25,0.18,2023-03-13,Port of Singapore (Singapore)
Coffee Beans,23.29,1.9,0.31,0.26,0.18,2023-03-28,Port of Shanghai (China)
Sprinkler System,342.62,6.67,0.99,0.79,0.13,2023-03-13,Port of Tokyo (Japan)
Sneakers,283.17,1.12,0.34,0.28,0.3,2023-03-27,Port of Shanghai (China)
Paper Towel Holder,26.46,1.07,0.28,0.18,0.24,2023-03-22,Port of Singapore (Singapore)
Sleeping Bag,141.09,1.34,0.77,0.48,0.12,2023-03-17,Port of Tianjin (China)
Guitar,334.83,2.86,0.34,0.21,0.2,2023-03-26,Port of Singapore (Singapore)
Coffee Table,102.33,10.16,0.94,0.52,0.49,2023-03-23,Port of Shanghai (China)
Sailboat,284215.31,2942.29,10.95,3.23,5.4,2023-03-17,Port of Busan (South Korea)
Gaming Console,653.24,3.43,0.3,0.22,0.12,2023-03-28,Port of Shanghai (China)
Teapot,44.14,1.25,0.24,0.29,0.24,2023-03-17,Port of Tianjin (China)
PVC Pipes,8.67,1.09,1.42,0.06,1.54,2023-03-14,Port of Singapore (Singapore)
Hiking Boots,293.33,1.25,0.31,0.25,0.48,2023-03-23,Port of Tianjin (China)
Refrigerator,1406.69,85.19,1.42,0.8,1.11,2023-03-16,Port of Tokyo (Japan)
Instant Noodle Pack,7.98,0.36,0.19,0.18,0.09,2023-03-28,Port of Tokyo (Japan)
Compost Bin,48.0,14.94,0.61,0.95,0.82,2023-03-16,Port of Shanghai (China)
Medium Box,11.52,0.5,0.53,0.32,0.26,2023-03-26,Port of Shanghai (China)
Pruning Shears,17.53,0.47,0.25,0.09,0.09,2023-03-20,Port of Singapore (Singapore)
Smartphone,294.08,0.16,0.07,0.03,0.16,2023-03-25,Port of Singapore (Singapore)
MDF Boards,18.76,8.2,1.68,0.55,0.08,2023-03-20,Port of Busan (South Korea)
Roofing Shingles,21.24,8.56,0.73,0.62,0.06,2023-03-14,Port of Busan (South Korea)
Coffee Maker,189.53,1.39,0.28,0.26,0.26,2023-03-13,Port of Shanghai (China)
Pineapple (Canned),83.19,68.44,0.4,0.3,0.3,2023-03-25,Port of Tianjin (China)
Flute,236.04,0.18,0.28,0.04,0.05,2023-03-26,Port of Tokyo (Japan)
Dining Table,1136.97,31.01,1.46,0.8,0.92,2023-03-18,Port of Busan (South Korea)
Stone Slabs,188.67,96.49,0.57,0.78,0.1,2023-03-19,Port of Busan (South Korea)
Big Bag with Rocks,153.31,1438.76,1.97,1.1,0.15,2023-03-22,Port of Busan (South Korea)
Drum Set,1864.84,40.54,0.51,0.64,1.33,2023-03-15,Port of Tokyo (Japan)
Big Bag with Grains,79.7,517.31,1.11,0.69,0.17,2023-03-14,Port of Busan (South Korea)
Gaming Console,398.12,2.19,0.36,0.23,0.1,2023-03-12,Port of Busan (South Korea)
Jar of Pasta Sauce,7.1,0.56,0.18,0.1,0.12,2023-03-21,Port of Shanghai (China)
Pallete of Chips,103.42,260.88,1.18,0.92,1.32,2023-03-26,Port of Singapore (Singapore)
Corn (Canned),37.75,94.33,0.4,0.3,0.3,2023-03-23,Port of Busan (South Korea)
Compost Bin,42.77,13.86,0.64,0.68,0.74,2023-03-26,Port of Singapore (Singapore)
Cement Bag,46.29,21.0,0.35,0.35,0.38,2023-03-28,Port of Busan (South Korea)
Carton of Eggs,3.01,0.86,0.13,0.06,0.13,2023-03-25,Port of Tianjin (China)
Wheelbarrow,160.95,29.35,1.35,0.53,0.89,2023-03-18,Port of Tokyo (Japan)
Table Lamp,42.53,0.86,0.24,0.26,0.37,2023-03-16,Port of Tokyo (Japan)
Refrigerator,843.78,76.2,1.5,0.81,1.97,2023-03-19,Port of Tianjin (China)
Tea Leaves,116.66,187.88,0.4,0.58,0.35,2023-03-19,Port of Shanghai (China)
Laptop Bag,25.0,1.29,0.28,0.5,0.2,2023-03-15,Port of Shanghai (China)
Medium Flat Rate Box,21.67,0.67,0.61,0.47,0.3,2023-03-24,Port of Shanghai (China)
Tennis Racket,108.33,0.49,0.7,0.18,0.03,2023-03-14,Port of Singapore (Singapore)
Couch,497.64,81.12,2.15,1.09,0.96,2023-03-15,Port of Singapore (Singapore)
Pallete of Paper Towels,272.38,697.38,1.12,1.12,0.83,2023-03-19,Port of Tokyo (Japan)
Shelves,202.45,11.4,1.29,0.34,1.45,2023-03-25,Port of Shanghai (China)
Ceramic Tiles,23.75,7.56,0.22,0.36,0.02,2023-03-12,Port of Busan (South Korea)
Dog Crate,142.66,5.15,0.9,0.62,0.35,2023-03-16,Port of Busan (South Korea)
Hiking Boots,122.88,1.72,0.48,0.18,0.25,2023-03-28,Port of Tianjin (China)
Medium Flat Rate Box,16.53,0.46,0.79,0.22,0.1,2023-03-16,Port of Shanghai (China)
Iron,23.68,1.43,0.19,0.16,0.13,2023-03-22,Port of Shanghai (China)
Box of Tea,61.77,2.42,0.42,0.47,0.14,2023-03-25,Port of Busan (South Korea)
Hiking Boots,52.48,1.04,0.21,0.3,0.49,2023-03-22,Port of Singapore (Singapore)
Small Boat,18056.19,446.53,5.34,1.92,2.12,2023-03-15,Port of Busan (South Korea)
Iron,52.01,0.99,0.14,0.17,0.21,2023-03-21,Port of Tianjin (China)
Big Bag with Textile Scraps,140.08,1897.85,1.6,1.12,0.2,2023-03-15,Port of Tokyo (Japan)
Dish Rack,18.66,1.76,0.51,0.3,0.15,2023-03-22,Port of Busan (South Korea)
Large Padded Envelope,5.18,0.29,0.26,0.15,0.06,2023-03-21,Port of Busan (South Korea)
Bricks,71.69,21.12,0.81,0.24,0.15,2023-03-17,Port of Singapore (Singapore)
Ceramic Tiles,15.72,9.97,0.4,0.35,0.02,2023-03-13,Port of Tokyo (Japan)
Pallete of Canned Fruit,187.9,479.38,1.07,0.96,1.26,2023-03-24,Port of Tianjin (China)
Camping Stove,105.55,0.99,0.27,0.21,0.08,2023-03-18,Port of Busan (South Korea)
Medium Box,16.08,0.35,0.46,0.32,0.3,2023-03-25,Port of Singapore (Singapore)
Pallete of Cat Food,146.32,360.99,1.06,0.93,1.23,2023-03-16,Port of Singapore (Singapore)
Showerhead,26.88,1.18,0.39,0.2,0.15,2023-03-20,Port of Tianjin (China)
Plant,19.21,1.17,0.43,0.22,0.3,2023-03-25,Port of Busan (South Korea)
Bag of Flour,9.29,0.74,0.32,0.33,0.1,2023-03-28,Port of Busan (South Korea)
Camera Bag,62.83,1.28,0.2,0.48,0.29,2023-03-14,Port of Singapore (Singapore)
Bed,164.59,86.22,2.17,1.86,1.47,,Port of Busan (South Korea)
Pallete of Breakfast Cereal,129.5,425.15,1.01,0.83,1.35,2023-03-24,Port of Busan (South Korea)
Pallete of Coffee,310.95,832.82,1.09,0.91,1.45,2023-03-19,Port of Tokyo (Japan)
Flute,88.49,0.13,0.11,0.02,0.08,2023-03-18,Port of Tokyo (Japan)
Camping Stove,43.27,0.88,0.29,0.21,0.05,2023-03-21,Port of Tokyo (Japan)
Portable Bluetooth Keyboard,75.99,0.25,0.16,0.07,0.05,2023-03-16,Port of Busan (South Korea)
Large Box,32.15,0.96,0.99,0.43,0.34,2023-03-23,Port of Singapore (Singapore)
Picture Frame,27.12,0.46,0.3,0.19,0.01,2023-03-25,Port of Singapore (Singapore)
Big Bag with Rocks,139.22,1322.98,1.7,0.93,0.21,2023-03-27,Port of Shanghai (China)
Can of Beans,1.0,0.25,0.14,0.11,0.14,2023-03-16,Port of Shanghai (China)
Refrigerator,919.93,60.0,1.12,0.9,1.66,2023-03-24,Port of Tokyo (Japan)
Hedge Trimmer,141.54,5.86,0.81,0.37,0.28,2023-03-25,Port of Busan (South Korea)
Loaf of Bread,4.75,0.35,0.31,0.1,0.12,2023-03-16,Port of Tianjin (China)
Plywood Sheets,44.49,19.43,1.43,0.98,0.03,2023-03-13,Port of Shanghai (China)
Pallete of Laptops,11775.25,20920.93,0.62,0.41,0.14,2023-03-20,Port of Tianjin (China)
Garden Rake,17.64,1.6,0.8,0.32,0.45,2023-03-22,Port of Shanghai (China)
TV,1206.84,27.16,1.13,1.85,0.41,2023-03-25,Port of Singapore (Singapore)
Big Bag with Plastic Scraps,134.27,1086.99,1.81,0.66,0.27,2023-03-24,Port of Tianjin (China)
Large Flat Rate Box,39.7,0.78,0.73,0.8,0.4,2023-03-18,Port of Tianjin (China)
Table Lamp,45.73,0.74,0.25,0.2,0.35,2023-03-19,Port of Tianjin (China)
Big Bag with Grains,62.78,435.37,1.26,0.96,0.22,2023-03-18,Port of Tianjin (China)
Tennis Racket,47.89,0.67,0.64,0.23,0.17,2023-03-26,Port of Tokyo (Japan)
Pallete of Cat Food,122.87,363.84,1.11,0.93,1.47,2023-03-15,Port of Tokyo (Japan)
Running Shoes,91.4,1.15,0.47,0.18,0.18,2023-03-12,Port of Tokyo (Japan)
Headphones,154.7,0.14,0.15,0.11,0.06,2023-03-16,Port of Tokyo (Japan)
Wine Opener,14.59,0.5,0.15,0.11,0.05,2023-03-16,Port of Tokyo (Japan)
Garden Rake,29.09,1.42,0.93,0.32,0.28,2023-03-22,Port of Shanghai (China)
Large Box,32.65,0.62,0.89,0.48,0.4,2023-03-15,Port of Busan (South Korea)
Electric Drill,63.83,3.95,0.21,0.27,0.28,2023-03-23,Port of Tokyo (Japan)
Couch,334.78,50.77,1.66,1.27,0.89,2023-03-19,Port of Singapore (Singapore)
Sailboat,189265.69,2463.18,28.34,3.38,3.91,2023-03-16,Port of Busan (South Korea)
Wooden Planks,42.74,16.92,1.55,0.17,0.62,2023-03-24,Port of Tokyo (Japan)
Office Chair,76.7,8.36,0.63,0.75,0.99,2023-03-27,Port of Busan (South Korea)
Soccer Ball,29.27,0.43,0.25,0.21,0.24,2023-03-22,Port of Shanghai (China)
Bluetooth Speaker,87.86,1.97,0.21,0.23,0.13,2023-03-24,Port of Singapore (Singapore)
Small Boat,7157.01,942.23,5.28,2.28,2.45,2023-03-21,Port of Tokyo (Japan)
Big Bag with Textile Scraps,104.83,1142.52,1.97,0.79,0.17,2023-03-18,Port of Singapore (Singapore)
Jar of Peanut Butter,7.45,0.52,0.14,0.14,0.13,2023-03-12,Port of Shanghai (China)
Foam Roller,28.11,0.77,0.32,0.15,0.2,2023-03-12,Port of Tokyo (Japan)
Office Chair,61.63,12.42,0.62,0.65,0.93,2023-03-20,Port of Tianjin (China)
Corn (Canned),50.34,80.69,0.4,0.3,0.3,2023-03-13,Port of Shanghai (China)
Refrigerator,553.48,55.5,1.15,0.8,1.7,2023-03-21,Port of Tianjin (China)
Wheat Flour,33.72,1.35,0.4,0.5,0.3,2023-03-17,Port of Busan (South Korea)
Smartphone,524.28,0.23,0.18,0.06,0.19,2023-03-19,Port of Tokyo (Japan)
Pruning Saw,32.66,0.92,0.34,0.03,0.04,2023-03-19,Port of Shanghai (China)
Aluminum Sheets,50.77,58.33,1.16,1.2,0.06,2023-03-26,Port of Busan (South Korea)
Hiking Boots,113.44,1.57,0.33,0.23,0.28,2023-03-14,Port of Shanghai (China)
Sewing Machine,884.36,19.37,0.66,0.46,0.59,2023-03-19,Port of Singapore (Singapore)
Bag of Rice,15.04,7.66,0.8,0.53,0.16,2023-03-20,Port of Tokyo (Japan)
Headphones,75.98,0.41,0.1,0.18,0.2,2023-03-26,Port of Tianjin (China)
Messenger Bag,47.71,1.45,0.5,0.4,0.19,2023-03-22,Port of Shanghai (China)
Jump Rope,9.07,0.29,0.06,0.08,0.01,2023-03-27,Port of Tokyo (Japan)
Coffee Maker,45.95,1.56,0.57,0.36,0.29,2023-03-19,Port of Tokyo (Japan)
Backpacking Tent,195.84,2.93,2.09,1.54,1.4,2023-03-21,Port of Tokyo (Japan)
Water Bottle,23.55,0.74,0.22,0.22,0.07,2023-03-22,Port of Busan (South Korea)
Sleeping Bag,53.46,2.01,1.05,0.74,0.24,2023-03-17,Port of Tokyo (Japan)
External Hard Drives,114.19,1.35,0.84,0.52,0.45,2023-03-15,Port of Singapore (Singapore)
Compost Bin,40.85,7.06,0.99,0.81,0.78,2023-03-23,Port of Busan (South Korea)
Movie Night Pack,25.1,3.41,1.16,0.4,0.27,2023-03-19,Port of Singapore (Singapore)
Water Heater,183.44,10.99,0.37,0.26,0.2,2023-03-23,Port of Tianjin (China)
Wheelbarrow,166.1,26.93,1.38,0.67,0.86,2023-03-20,Port of Busan (South Korea)
Bottle of Olive Oil,11.6,0.99,0.34,0.14,0.2,2023-03-24,Port of Busan (South Korea)
Small Box,5.98,0.1,0.23,0.25,0.16,2023-03-12,Port of Busan (South Korea)
Box of Chocolate Bar,36.34,2.86,0.61,0.58,0.16,2023-03-13,Port of Shanghai (China)
Soap Dispenser,15.69,0.39,0.12,0.15,0.27,2023-03-17,Port of Shanghai (China)
Box of Clothes,41.96,5.25,0.54,0.68,0.5,2023-03-24,Port of Shanghai (China)
Bathroom Scale,24.03,2.19,0.42,0.31,0.03,2023-03-17,Port of Shanghai (China)
Desk Lamp,34.35,0.81,0.14,0.14,0.25,2023-03-22,Port of Tianjin (China)
Healthy Snack Pack,18.72,0.32,0.21,0.16,0.06,2023-03-23,Port of Tokyo (Japan)
Hiking Boots,96.18,2.65,0.34,0.36,0.32,2023-03-22,Port of Shanghai (China)
Table Lamp,36.26,0.86,0.29,0.28,0.35,2023-03-16,Port of Tianjin (China)
Big Bag with Debris,118.99,1172.5,1.5,0.8,0.13,2023-03-17,Port of Busan (South Korea)
Digital Camera,364.59,0.8,0.12,0.05,0.07,2023-03-21,Port of Tokyo (Japan)
Bananas,175.61,198.19,0.69,0.6,0.7,2023-03-17,Port of Busan (South Korea)
Toaster,35.81,1.74,0.5,0.28,0.16,2023-03-28,Port of Tianjin (China)
Sofa,256.4,38.87,1.91,1.32,0.62,2023-03-18,Port of Busan (South Korea)
Portable Charger,27.51,0.4,0.1,0.05,0.03,2023-03-14,Port of Shanghai (China)
Big Bag with Rocks,162.64,1861.46,1.85,0.92,0.18,2023-03-13,Port of Busan (South Korea)
PVC Pipes,14.66,1.01,1.45,0.05,1.7,2023-03-28,Port of Tokyo (Japan)
Running Shoes,49.63,0.84,0.37,0.22,0.16,2023-03-26,Port of Singapore (Singapore)
Pruning Shears,19.61,0.45,0.23,0.1,0.08,2023-03-28,Port of Tianjin (China)
Bathroom Scale,24.62,1.31,0.32,0.32,0.02,2023-03-22,Port of Shanghai (China)
Wetsuit,114.79,1.44,0.79,0.6,0.15,2023-03-18,Port of Tianjin (China)
TV Stand,65.64,9.84,0.68,0.6,0.56,2023-03-15,Port of Tokyo (Japan)
Mattress,259.61,23.17,1.51,1.09,0.29,2023-03-16,Port of Tianjin (China)
Large Box,21.64,0.98,0.71,0.59,0.35,,Port of Singapore (Singapore)
Kitchen Timer,9.08,0.23,0.14,0.18,0.11,2023-03-26,Port of Busan (South Korea)
Hedge Trimmer,112.46,7.88,1.02,0.34,0.29,2023-03-20,Port of Tianjin (China)
Pallete of Orange Juice,175.17,510.39,1.11,0.92,1.3,2023-03-21,Port of Tianjin (China)
Washing machine,859.05,60.64,0.62,0.65,0.6,2023-03-15,Port of Tianjin (China)
PC Mice,82.0,0.15,1.06,0.33,0.24,2023-03-16,Port of Shanghai (China)
Toilet Brush,6.63,0.41,0.17,0.1,0.31,2023-03-17,Port of Busan (South Korea)
Portable Charger,48.3,0.46,0.11,0.09,0.04,2023-03-26,Port of Busan (South Korea)
Pineapple (Canned),110.21,51.81,0.4,0.3,0.3,2023-03-26,Port of Shanghai (China)
Large Flat Rate Box,35.3,0.96,1.1,0.53,0.36,2023-03-12,Port of Busan (South Korea)
Bookshelf,378.65,19.52,0.65,0.72,1.17,2023-03-27,Port of Singapore (Singapore)
Pallete of Bird Food,113.69,223.71,1.06,0.96,1.38,2023-03-18,Port of Tianjin (China)
Pallete of Canned Vegetables,130.13,390.65,1.16,0.86,1.49,2023-03-27,Port of Busan (South Korea)
Pallete of Chairs,1005.77,3516.22,1.36,1.16,1.48,2023-03-23,Port of Busan (South Korea)
Duffel Bag,30.96,2.89,0.34,0.55,0.26,2023-03-15,Port of Busan (South Korea)
Resistance Loop Bands,17.23,0.22,0.19,0.03,0.02,2023-03-12,Port of Tokyo (Japan)
Dish Rack,23.26,1.92,0.45,0.24,0.18,2023-03-19,Port of Tianjin (China)
Pallete of Cement,438.4,992.18,1.26,0.82,1.2,2023-03-23,Port of Shanghai (China)
Backpack,44.09,0.76,0.23,0.53,0.12,2023-03-13,Port of Busan (South Korea)
Pallete of Snacks,114.38,428.89,1.12,0.83,1.26,,Port of Tokyo (Japan)
Speakers,472.41,5.93,0.49,0.47,0.21,2023-03-12,Port of Shanghai (China)
Large Box,33.84,0.7,0.81,0.43,0.37,2023-03-18,Port of Singapore (Singapore)
Coffee Table,381.33,20.49,0.64,0.59,0.3,2023-03-17,Port of Singapore (Singapore)
Roofing Shingles,21.33,7.19,0.93,0.85,0.08,2023-03-20,Port of Tianjin (China)
Big Bag with Granules,94.16,695.91,1.3,0.56,0.27,2023-03-16,Port of Shanghai (China)
Sofa,457.04,46.71,1.67,1.47,0.66,2023-03-15,Port of Busan (South Korea)
Medium Box,19.94,0.34,0.54,0.39,0.24,2023-03-13,Port of Tokyo (Japan)
Bluetooth Speaker,54.57,1.5,0.23,0.27,0.13,2023-03-23,Port of Singapore (Singapore)
Pallete of Cat Food,179.75,379.44,1.07,0.82,1.26,2023-03-19,Port of Tianjin (China)
Large Desk,410.46,37.72,1.53,0.8,0.75,2023-03-19,Port of Shanghai (China)
Armchair,324.69,32.42,1.45,0.96,0.85,2023-03-22,Port of Tianjin (China)
Box of Tea,35.17,1.05,0.54,0.38,0.17,2023-03-25,Port of Tokyo (Japan)
Small Desk,73.46,14.17,0.83,0.52,0.89,2023-03-21,Port of Tokyo (Japan)
Pallete of Paper Towels,238.52,672.8,1.3,1.11,0.84,2023-03-21,Port of Tokyo (Japan)
Refrigerator,1400.99,148.58,1.27,0.8,1.18,2023-03-22,Port of Singapore (Singapore)
Armchair,335.86,28.82,1.36,0.96,0.87,2023-03-12,Port of Shanghai (China)
Bag of Flour,5.09,0.83,0.3,0.39,0.16,2023-03-27,Port of Singapore (Singapore)
Pallete of Smartphones,7220.36,13546.72,0.3,0.35,0.06,2023-03-26,Port of Busan (South Korea)
Bed,380.02,73.98,2.44,1.61,1.39,2023-03-17,Port of Tianjin (China)
Backpacking Tent,129.6,2.56,2.09,1.61,1.65,2023-03-28,Port of Shanghai (China)
Sailboat,351380.96,1103.6,18.88,5.83,3.36,2023-03-12,Port of Tokyo (Japan)
Spices Collection,20.86,0.97,0.26,0.27,0.18,2023-03-13,Port of Busan (South Korea)
Pallete of Cement,252.2,1081.07,1.22,1.03,1.29,2023-03-18,Port of Tianjin (China)
Garden Rake,24.45,1.76,0.93,0.42,0.45,2023-03-17,Port of Shanghai (China)
Pallete of Tables,2067.27,5789.37,1.65,1.39,1.33,2023-03-28,Port of Busan (South Korea)
Mixed Dried Fruits,18.81,0.72,0.23,0.25,0.11,2023-03-13,Port of Tokyo (Japan)
Car,157287.85,2191.89,4.84,1.91,1.4,2023-03-15,Port of Tianjin (China)
Box of Tea,44.5,1.9,0.68,0.37,0.19,2023-03-27,Port of Tokyo (Japan)
Running Shoes,56.11,0.66,0.23,0.23,0.2,2023-03-15,Port of Tokyo (Japan)
Big Bag with Coal,132.69,827.74,1.73,1.19,0.24,2023-03-13,Port of Tianjin (China)
Drawstring Bag,19.62,0.29,0.11,0.4,0.14,2023-03-19,Port of Tokyo (Japan)
PC Mice,150.76,0.15,1.32,0.72,0.26,2023-03-26,Port of Singapore (Singapore)
Wheat Flour,76.42,2.86,0.4,0.5,0.3,2023-03-24,Port of Busan (South Korea)
Gaming Console,536.52,3.51,0.36,0.35,0.1,2023-03-16,Port of Tokyo (Japan)
Pool Table,782.38,174.16,2.32,1.19,0.67,2023-03-24,Port of Shanghai (China)
Pallete of Wine Bottles,377.0,957.82,1.22,1.2,0.24,2023-03-14,Port of Busan (South Korea)
Box of Pasta,3.96,0.7,0.23,0.1,0.16,2023-03-14,Port of Tokyo (Japan)
Pallete of Cement,238.94,1019.99,1.06,1.06,1.44,2023-03-26,Port of Shanghai (China)
Guitar Case,125.71,7.58,1.17,0.52,1.15,2023-03-24,Port of Busan (South Korea)
Jet Ski,6414.68,177.26,1.65,0.84,0.91,2023-03-17,Port of Tianjin (China)
Smartphone,495.4,0.14,0.05,0.08,0.01,2023-03-16,Port of Tokyo (Japan)
Wristwatch,51.19,0.15,0.22,0.05,0.04,2023-03-22,Port of Busan (South Korea)
Headphones,116.6,0.19,0.18,0.15,0.05,2023-03-13,Port of Tianjin (China)
Beach Towel,25.77,0.76,1.24,1.15,0.06,2023-03-21,Port of Tianjin (China)
Pallete of Bird Food,82.18,202.2,1.09,0.85,1.32,2023-03-26,Port of Tokyo (Japan)
Ceramic Tiles,12.66,6.79,0.38,0.38,0.02,2023-03-27,Port of Tianjin (China)
Weed Whacker,163.43,2.02,1.2,0.29,0.23,2023-03-21,Port of Tianjin (China)
Drum Set,1956.08,72.05,0.59,0.68,1.27,2023-03-25,Port of Shanghai (China)
Lawn Sprinkler,33.3,1.32,0.32,0.13,0.2,2023-03-17,Port of Busan (South Korea)
Cement Bag,42.55,20.97,0.33,0.32,0.36,2023-03-26,Port of Busan (South Korea)
Small Flat Rate Box,8.28,0.24,0.33,0.13,0.1,2023-03-13,Port of Tianjin (China)
Bicycle,487.57,10.11,1.34,0.96,1.45,2023-03-12,Port of Shanghai (China)
Extra Large Box,44.29,1.31,1.32,0.69,0.5,2023-03-18,Port of Tianjin (China)
Pallete of Magazines,144.77,450.71,1.41,0.8,1.01,2023-03-20,Port of Tianjin (China)
Pallete of Coffee,330.15,830.82,1.13,0.89,1.49,2023-03-18,Port of Busan (South Korea)
Pallete of Snacks,146.56,420.38,1.01,0.88,1.39,2023-03-19,Port of Singapore (Singapore)
Medium Flat Rate Box,24.11,0.77,0.67,0.44,0.29,2023-03-17,Port of Busan (South Korea)
Microwave Oven,62.03,10.45,0.56,0.56,0.2,2023-03-24,Port of Singapore (Singapore)
Pallete of Tires,681.84,1992.66,1.47,0.85,1.34,2023-03-15,Port of Shanghai (China)
Backpacking Tent,266.24,3.88,1.94,1.71,1.12,2023-03-23,Port of Singapore (Singapore)
Medium Box,14.42,0.41,0.43,0.4,0.25,2023-03-25,Port of Tianjin (China)
Snowboard,348.62,2.06,1.25,0.3,0.13,2023-03-23,Port of Singapore (Singapore)
Armchair,240.6,33.14,1.28,0.97,0.93,2023-03-12,Port of Busan (South Korea)
Gaming Console,554.41,2.54,0.28,0.34,0.1,2023-03-18,Port of Tianjin (China)
Leaf Blower,125.45,6.3,0.95,0.45,0.44,2023-03-15,Port of Tokyo (Japan)
Guitar,406.83,2.13,0.36,0.15,0.08,2023-03-17,Port of Singapore (Singapore)
Guitar,278.11,3.35,0.42,0.29,0.05,2023-03-15,Port of Tianjin (China)
Headphones,126.38,0.24,0.11,0.11,0.07,2023-03-21,Port of Tianjin (China)
Printer,243.59,7.72,0.31,0.22,0.34,2023-03-12,Port of Tianjin (China)
Small Desk,131.33,27.89,0.66,0.75,0.76,2023-03-23,Port of Singapore (Singapore)
Sofa,344.85,40.74,2.24,1.24,0.6,2023-03-20,Port of Busan (South Korea)
Wheelbarrow,60.71,19.2,1.17,0.68,0.66,2023-03-13,Port of Tianjin (China)
Laptop Backpack,41.66,1.13,0.51,0.24,0.42,2023-03-17,Port of Tokyo (Japan)
Sewing Machine,310.76,11.29,0.53,0.47,0.34,2023-03-26,Port of Singapore (Singapore)
Desk Lamp,154.71,0.82,0.15,0.27,0.4,2023-03-15,Port of Shanghai (China)
Bathroom Scale,20.0,2.25,0.41,0.35,0.03,2023-03-12,Port of Tianjin (China)
Big Bag with Fertilizer,88.15,785.57,1.27,0.71,0.15,2023-03-18,Port of Tokyo (Japan)
Generators,1370.6,240.65,0.58,0.58,0.54,2023-03-14,Port of Tianjin (China)
Pallete of Canned Vegetables,122.81,393.12,1.15,0.89,1.27,2023-03-14,Port of Tianjin (China)
Washing Machine,355.81,35.05,0.98,0.64,1.3,2023-03-17,Port of Singapore (Singapore)
Backpack,41.8,1.89,0.36,0.3,0.68,2023-03-22,Port of Busan (South Korea)
Running Shoes,84.85,0.54,0.27,0.31,0.15,2023-03-17,Port of Busan (South Korea)
Lawn Sprinkler,22.81,1.03,0.47,0.11,0.17,2023-03-15,Port of Busan (South Korea)
TV,1949.31,21.79,1.32,1.22,0.47,2023-03-12,Port of Busan (South Korea)
Soap Dispenser,18.55,0.65,0.15,0.1,0.26,2023-03-22,Port of Tianjin (China)
Electric Kettle,41.75,1.21,0.28,0.28,0.27,2023-03-16,Port of Tianjin (China)
Desktop Computer,691.76,5.63,0.48,0.54,0.37,2023-03-27,Port of Tokyo (Japan)
